Ball,h1 (cm),h'1 (cm),h2 (cm),h'2 (cm),h3 (cm),D (cm),L (cm),x (predicted) (cm),x (actual) (cm),z (cm),diameter (cm),mass (g)
Plastic 1,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-8.7,3.5,2,4
Plastic 2,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-8.4,3.7,2,4
Plastic 3,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-9.2,3,2,4
Plastic 4,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-8.3,3.2,2,4
Plastic 5,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-9.3,2.4,2,4
Plastic 6,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.8,2.2,2,4
Plastic 7,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.9,4.8,2,4
Plastic 8,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.5,3.9,2,4
Plastic 9,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-8.7,3.6,2,4
Plastic 10,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-8.8,3.5,2,4
Plastic 11,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-8.6,3.5,2,4
Plastic 12,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-8.5,3.4,2,4
Plastic 13,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.1,3.3,2,4
Plastic 14,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.8,3,2,4
Plastic 15,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.9,3,2,4
Plastic 16,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.8,2.9,2,4
Plastic 17,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.8,3,2,4
Plastic 18,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.6,3.1,2,4
Plastic 19,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.4,3.2,2,4
Plastic 20,128.9,120.9,110,116.1,103.5,28.2,29,69.3,-7.3,3.2,2,4